"","spec","pi_param","ie_rd","ie_rd_var","var_to_use","std_err","ci_low","ci_high","setup","bootstrap","augmented","iter","m_a","true_ie"
"16","homo",200,0.458949431788073,0.00324728113738395,0.00324728113738395,0.0569849202630306,0.347261040410646,0.5706378231655,"homo",FALSE,TRUE,2,200,0.38
"17","hetero",200,0.399487924126179,0.00574779295676754,0.00563389672696485,0.0750592880792567,0.25237442278562,0.546601425466739,"homo",TRUE,FALSE,2,200,0.38
"18","homo",200,0.398110444009073,0.00566791438659178,0.0055936756814783,0.0747908796677663,0.251523013488182,0.544697874529964,"homo",TRUE,FALSE,2,200,0.38
"19","hetero",200,0.464155766092247,0.00305284115935028,0.00368252999470423,0.0606838528333875,0.345217600095679,0.583093932088815,"homo",TRUE,TRUE,2,200,0.38
"20","homo",200,0.469231992770912,0.00315775955859312,0.00348397833385444,0.0590252347208755,0.353544658538973,0.584919327002852,"homo",TRUE,TRUE,2,200,0.38
"21","Naive",0,0.31,0.00343668341708543,0.00343668341708543,0.0586232327416821,0.195100575168994,0.424899424831006,"homo",FALSE,FALSE,2,200,0.38
"22","Naive",0,0.353759436204706,0.00183576168639175,0.00183576168639175,0.0428457895993498,0.2697832317008,0.437735640708613,"homo",FALSE,TRUE,2,200,0.38
"23","Naive",0,0.31,0.00343668341708543,0.00352534284356871,0.0593745976286889,0.193627927051212,0.426372072948788,"homo",TRUE,FALSE,2,200,0.38
"24","Naive",0,0.366176734071366,0.00183850295217324,0.00212260229509637,0.0460717081851365,0.27587784532226,0.456475622820473,"homo",TRUE,TRUE,2,200,0.38
"25","hetero",200,0.535619259416578,0.00586343929278031,0.00586343929278031,0.0765730977091845,0.38553874572191,0.685699773111246,"homo",FALSE,FALSE,3,200,0.38
"26","homo",200,0.532954304076663,0.00574146715772937,0.00574146715772937,0.0757724696557356,0.384442992531767,0.681465615621558,"homo",FALSE,FALSE,3,200,0.38
"27","hetero",200,0.456344589421598,0.00318133830199657,0.00318133830199657,0.0564033536413977,0.345796047677182,0.566893131166013,"homo",FALSE,TRUE,3,200,0.38
"28","homo",200,0.459471016915102,0.00304229947433798,0.00304229947433798,0.0551570437418285,0.351365197687418,0.567576836142787,"homo",FALSE,TRUE,3,200,0.38
"29","hetero",200,0.535619259416578,0.00586343929278031,0.00577321656567331,0.0759816857253991,0.386697891910155,0.684540626923001,"homo",TRUE,FALSE,3,200,0.38
"30","homo",200,0.532954304076663,0.00574146715772937,0.00565683854277277,0.0752119574454273,0.385541576276866,0.680367031876459,"homo",TRUE,FALSE,3,200,0.38
"31","hetero",200,0.463516717524288,0.00321387737881898,0.00290101468632126,0.0538610683733739,0.357950963343626,0.56908247170495,"homo",TRUE,TRUE,3,200,0.38
"32","homo",200,0.452601145582352,0.00317923816754895,0.00279709420562712,0.0528875619179701,0.348943428992999,0.556258862171706,"homo",TRUE,TRUE,3,200,0.38
"33","Naive",0,0.415,0.00348128140703518,0.00348128140703518,0.0590023847571874,0.299357450873938,0.530642549126062,"homo",FALSE,FALSE,3,200,0.38
"34","Naive",0,0.354977646156692,0.00185680803016697,0.00185680803016697,0.0430906954012926,0.270521435101373,0.439433857212011,"homo",FALSE,TRUE,3,200,0.38
"35","Naive",0,0.415,0.00348128140703518,0.00354239406981396,0.0595180146662669,0.29834683482279,0.53165316517721,"homo",TRUE,FALSE,3,200,0.38
"36","Naive",0,0.354283479817873,0.00194929689605589,0.00172572643757734,0.0415418636748202,0.272862923164553,0.435704036471193,"homo",TRUE,TRUE,3,200,0.38
"37","hetero",200,0.378171374326066,0.00636203232650736,0.00636203232650736,0.0797623490533432,0.221840042859201,0.534502705792931,"homo",FALSE,FALSE,4,200,0.38
"38","homo",200,0.378847035427989,0.00619894467511476,0.00619894467511476,0.0787333771352071,0.224532451861774,0.533161618994204,"homo",FALSE,FALSE,4,200,0.38
