"","spec","pi_param","kappa","de_rd","de_rd_var","var_to_use","std_err","ci_low","ci_high","setup","bootstrap","augmented","iter","m_e","kappa_","true_de"
"17","hetero",150,2,0.237499082701851,0.00288850070832636,0.00287729657193539,0.0536404378425027,0.132365756415587,0.342632408988116,"hetero",TRUE,FALSE,2,150,2,0.355
"18","homo",150,2,0.242098706475591,0.00284656485433899,0.00278091780180136,0.0527344081392914,0.138741165776544,0.345456247174638,"hetero",TRUE,FALSE,2,150,2,0.355
"19","hetero",150,2,0.312744781763869,0.00181888800943532,0.00184905357775387,0.043000622992625,0.228465109385539,0.397024454142199,"hetero",TRUE,TRUE,2,150,2,0.355
"20","homo",150,2,0.305928682745259,0.00179162604383451,0.00181127237993264,0.0425590458061813,0.222514485748753,0.389342879741764,"hetero",TRUE,TRUE,2,150,2,0.355
"21","Naive",0,0,0.37,0.00664874371859297,0.00664874371859297,0.0815398290321544,0.210184871791424,0.529815128208576,"hetero",FALSE,FALSE,2,150,2,0.355
"22","Naive",0,0,0.480195483364494,0.00426676339740394,0.00426676339740394,0.0653204669104863,0.3521697207666,0.608221245962387,"hetero",FALSE,TRUE,2,150,2,0.355
"23","Naive",0,0,0.37,0.00664874371859297,0.00664348114022805,0.0815075526575792,0.210248132323143,0.529751867676857,"hetero",TRUE,FALSE,2,150,2,0.355
"24","Naive",0,0,0.479873716352642,0.00375010657306444,0.00412680943555955,0.0642402477856332,0.353965144334872,0.605782288370412,"hetero",TRUE,TRUE,2,150,2,0.355
"25","hetero",150,2,0.421299039861946,0.00297946330663802,0.00297946330663802,0.0545844603036251,0.314315463551285,0.528282616172608,"hetero",FALSE,FALSE,3,150,2,0.355
"26","homo",150,2,0.41876533011994,0.00290529905471951,0.00290529905471951,0.0539008261042399,0.313121652218674,0.524409008021207,"hetero",FALSE,FALSE,3,150,2,0.355
"27","hetero",150,2,0.369675285895526,0.00145612104843039,0.00145612104843039,0.0381591541891378,0.294884718004306,0.444465853786747,"hetero",FALSE,TRUE,3,150,2,0.355
"28","homo",150,2,0.365083604838225,0.00139655306368658,0.00139655306368658,0.0373704838567362,0.291838802394187,0.438328407282264,"hetero",FALSE,TRUE,3,150,2,0.355
"29","hetero",150,2,0.421299039861946,0.00297946330663802,0.00297053225204436,0.0545025894067828,0.314475927560478,0.528122152163415,"hetero",TRUE,FALSE,3,150,2,0.355
"30","homo",150,2,0.41876533011994,0.00290529905471951,0.00292966964008519,0.05412642275345,0.312679490911189,0.524851169328692,"hetero",TRUE,FALSE,3,150,2,0.355
"31","hetero",150,2,0.364019138107953,0.00148219872485788,0.00140451983006086,0.0374769239674344,0.290565716880436,0.437472559335471,"hetero",TRUE,TRUE,3,150,2,0.355
"32","homo",150,2,0.369579713992771,0.00141897207672958,0.00133790309062446,0.0365773576222293,0.29788941040356,0.441270017581982,"hetero",TRUE,TRUE,3,150,2,0.355
"33","Naive",0,0,0.64,0.00678592964824121,0.00678592964824121,0.0823767542953788,0.478544528417752,0.801455471582248,"hetero",FALSE,FALSE,3,150,2,0.355
"34","Naive",0,0,0.555674198632667,0.00331855000995857,0.00331855000995857,0.0576068573171508,0.442766833028514,0.668581564236821,"hetero",FALSE,TRUE,3,150,2,0.355
"35","Naive",0,0,0.64,0.00678592964824121,0.00670136124824965,0.081861842443532,0.479553737102585,0.800446262897415,"hetero",TRUE,FALSE,3,150,2,0.355
"36","Naive",0,0,0.550353091006271,0.00347417850014553,0.0031727204588615,0.056326907059251,0.439954381809604,0.660751800202937,"hetero",TRUE,TRUE,3,150,2,0.355
